V axon axon stm a-f,Firing modulation axon stm a-f
220.574.621.176,-243.722.304.284
116.389.635.483,-69.423.929.099
110.517.647.831,-849.335.302.806
-109.194.453.769,203.101.920.236
525.999.690.614,-320.411.392.405
273.693.481.499,-210.376.463.145
260.863.360.767,-247.548.244.227
-258.464.159.426,179.531.793.736
339.154.861.815,-236.791.237.113
173.284.580.499,-124.798.711.755
170.738.667.142,-587.951.030.928
-171.460.169.518,115.979.381.443
246.025.867.877,588.754.783.633
121.505.503.782,662.349.131.587
116.388.613.863,-765.381.218.722
-110.824.533.747,-235.501.913.453
309.976.074.393,-281.104.457.751
162.548.993.253,-207.016.960.426
158.224.731.185,-241.184.298.071
-153.753.755.656,361.776.447.106
580.694.768.917,-398.910.984.848
298.034.840.918,-299.479.166.667
28.979.374.502,-302.600.472.813
-293.390.276.622,555.160.984.848
656.449.634.696,-421.074.610.245
30.961.425.643,-375.139.198.218
305.487.910.627,-308.324.053.452
-321.776.529.182,269.348.552.339
118.235.410.443,-322.252.374.491
647.925.999.212,-253.534.529.636
596.870.466.256,-196.065.128.901
-595.828.936.998,301.899.592.944
491.579.779.118,-297.772.065.124
254.039.659.141,-208.452.312.964
248.448.688.829,-240.439.497.717
-254.335.481.887,402.027.992.002
321.986.956.703,-214.932.126.697
164.631.217.101,-17.689.822.294
161.861.640.272,-140.594.699.418
-162.282.736.087,279.573.367.809
343.304.773.567,-480.769.230.769
173.602.408.911,-800.854.244.527
170.726.118.152,-514.155.982.906
-167.232.511.883,460.737.179.487
289.600.052.683,-857.327.725.655
146.921.794.013,-582.335.813.653
144.457.960.894,-226.463.927.532
-142.296.219.093,121.319.961.178
611.246.046.489,-878.367.732.787
292.459.999.226,-253.826.337.324
304.897.589.142,-240.233.144.297
-301.096.866.598,350.559.319.363
296.718.449.764,-240.278.057.626
176.753.523.274,-161.298.076.923
592.017.897.677,-359.183.151.432
340.683.048.489,-395.286.963.132
224.414.339.225,-264.250.359.253
305.439.529.798,-348.335.067.638
260.488.932.455,-26.773.486.716
271.165.802.905,-265.727.851.516
