time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-301.487.000.589,"2,63E-03"
-301.320.333.922,"3,93E-03"
-301.153.667.255,"5,86E-03"
-300.987.000.589,"8,70E-03"
-300.820.333.922,"1,29E-02"
-300.653.667.255,"1,91E-02"
-300.487.000.589,"2,81E-02"
-300.320.333.922,"4,14E-02"
-300.153.667.255,"6,08E-02"
-299.987.000.589,"8,90E-02"
-299.820.333.922,"1,30E-01"
-299.653.667.255,"1,89E-01"
-299.487.000.589,"2,75E-01"
-299.320.333.922,"3,99E-01"
-299.153.667.255,"5,77E-01"
-298.987.000.589,"8,33E-01"
-298.820.333.922,"1,20E+00"
-298.653.667.255,"1,72E+00"
-298.487.000.589,"2,47E+00"
-298.320.333.922,"3,52E+00"
-298.153.667.255,"5,02E+00"
-297.987.000.589,"7,14E+00"
-297.820.333.922,"1,01E+01"
-297.653.667.255,"1,43E+01"
-297.487.000.589,"2,02E+01"
-297.320.333.922,"2,85E+01"
-297.153.667.255,"4,00E+01"
-296.987.000.589,"5,61E+01"
-296.820.333.922,"7,84E+01"
-296.653.667.255,"1,09E+01"
-296.487.000.589,"1,52E+02"
-296.320.333.922,"2,11E+02"
-296.153.667.255,"2,92E+02"
-295.987.000.589,"4,04E+02"
-295.820.333.922,"5,56E+02"
-295.653.667.255,"7,64E+02"
-295.487.000.589,"1,05E+03"
-295.320.333.922,"1,43E+03"
-295.153.667.255,"1,95E+03"
-294.987.000.589,"2,66E+03"
-294.820.333.922,"3,61E+03"
-294.653.667.255,"4,89E+03"
-294.487.000.589,"6,61E+03"
-294.320.333.922,"8,91E+03"
-294.153.667.255,"1,20E+04"
-293.987.000.589,"1,61E+04"
-293.820.333.922,"2,15E+04"
-293.653.667.255,"2,87E+04"
-293.487.000.589,"3,82E+03"
-293.320.333.922,"5,08E+04"
-293.153.667.255,"6,73E+04"
-292.987.000.589,"8,89E+04"
-292.820.333.922,"1,17E+05"
-292.653.667.255,"1,54E+05"
-292.487.000.589,"2,03E+05"
-292.320.333.922,"2,65E+05"
-292.153.667.255,"3,46E+05"
-291.987.000.589,"4,51E+05"
-291.820.333.922,"5,87E+05"
-291.653.667.255,"7,61E+05"
-291.487.000.589,"9,84E+05"
-291.320.333.922,"1,27E+06"
-291.153.667.255,"1,64E+06"
-290.987.000.589,"2,10E+06"
-290.820.333.922,"2,69E+06"
-290.653.667.255,"3,44E+06"
-290.487.000.589,"4,39E+06"
-290.320.333.922,"5,58E+06"
-290.153.667.255,"7,08E+06"
-289.987.000.589,"8,96E+06"
-289.820.333.922,11.319.505.865
-289.653.667.255,142.621.979.504
-289.487.000.589,179.270.226.897
-289.320.333.922,224.798.471.544
-289.153.667.255,281.217.794.677
-288.987.000.589,350.959.741.878
-288.820.333.922,436.955.981.212
-288.653.667.255,542.731.217.914
-288.487.000.589,6.725.111.875
-288.320.333.922,831.347.723.273
-288.153.667.255,102.526.306.992
-287.987.000.589,126.141.578.888
-287.820.333.922,154.829.076.891
-287.653.667.255,189.591.601.217
-287.487.000.589,231.610.900.551
-287.320.333.922,282.275.560.282
-287.153.667.255,343.212.442.829
-286.987.000.589,416.321.985.508
-286.820.333.922,503.817.660.858
-286.653.667.255,608.269.897.937
-286.487.000.589,732.654.749.627
-286.320.333.922,880.407.569.489
-286.153.667.255,105.548.193.088
-285.987.000.589,126.241.397.994
-285.820.333.922,150.639.236.158
-285.653.667.255,179.333.379.235
-285.487.000.589,212.996.427.607
-285.320.333.922,252.390.586.548
-285.153.667.255,298.376.876.608
-284.987.000.589,351.924.845.687
-284.820.333.922,414.122.736.562
-284.653.667.255,486.188.048.558
-284.487.000.589,569.478.415.587
-284.320.333.922,665.502.705.112
-284.153.667.255,775.932.223.869
-283.987.000.589,902.611.896.659
-283.820.333.922,10.475.712.645
-283.653.667.255,121.303.512.819
-283.487.000.589,140.143.364.353
-283.320.333.922,16.154.116.549
-283.153.667.255,185.783.703.624
-282.987.000.589,213.180.779.202
-282.820.333.922,244.065.765.685
-282.653.667.255,278.795.992.161
