V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
859.830.443.243,-255.956.813.105,220.574.621.176,-243.722.304.284,859.830.443.243,-255.956.813.105,220.574.621.176,-243.722.304.284,-30.0,-201.325.671.017,-301.487.000.589,"2,63E-03"
486.257.664.325,-146.073.688.128,116.389.635.483,-69.423.929.099,486.257.664.325,-146.073.688.128,116.389.635.483,-69.423.929.099,-299.800.999.994,-201.433.403.342,-301.320.333.922,"3,93E-03"
453.431.211.019,-725.986.597.171,110.517.647.831,-849.335.302.806,453.431.211.019,-725.986.597.171,110.517.647.831,-849.335.302.806,-299.601.999.989,-201.503.117.788,-301.153.667.255,"5,86E-03"
-449.787.582.106,10.703.648.548,-109.194.453.769,203.101.920.236,-449.787.582.106,10.703.648.548,-109.194.453.769,203.101.920.236,-299.402.999.983,-201.633.703.103,-300.987.000.589,"8,70E-03"
103.467.209.313,525.700.934.579,525.999.690.614,-320.411.392.405,103.467.209.313,525.700.934.579,525.999.690.614,-320.411.392.405,-299.203.999.978,-201.704.187.552,-300.820.333.922,"1,29E-02"
55.174.225.243,105.870.327.103,273.693.481.499,-210.376.463.145,55.174.225.243,105.870.327.103,273.693.481.499,-210.376.463.145,-299.004.999.972,-201.910.341.743,-300.653.667.255,"1,91E-02"
526.570.814.731,321.261.682.243,260.863.360.767,-247.548.244.227,526.570.814.731,321.261.682.243,260.863.360.767,-247.548.244.227,-298.805.999.967,-201.853.041.797,-300.487.000.589,"2,81E-02"
-51.897.932.693,584.112.149.533,-258.464.159.426,179.531.793.736,-51.897.932.693,584.112.149.533,-258.464.159.426,179.531.793.736,-298.606.999.961,-201.969.534.879,-300.320.333.922,"4,14E-02"
109.588.230.113,-155.426.765.016,339.154.861.815,-236.791.237.113,109.588.230.113,-155.426.765.016,339.154.861.815,-236.791.237.113,-298.407.999.956,-202.046.681.193,-300.153.667.255,"6,08E-02"
672.399.582.188,-147.446.024.223,173.284.580.499,-124.798.711.755,672.399.582.188,-147.446.024.223,173.284.580.499,-124.798.711.755,-29.820.899.995,-202.172.845.196,-299.987.000.589,"8,90E-02"
54.837.686.311,-86.887.835.703,170.738.667.142,-587.951.030.928,54.837.686.311,-86.887.835.703,170.738.667.142,-587.951.030.928,-298.009.999.945,-202.276.321.321,-299.820.333.922,"1,30E-01"
-560.989.180.692,184.404.636.459,-171.460.169.518,115.979.381.443,-560.989.180.692,184.404.636.459,-171.460.169.518,115.979.381.443,-297.810.999.939,-202.295.218.735,-299.653.667.255,"1,89E-01"
591.613.907.173,-781.474.046.458,246.025.867.877,588.754.783.633,591.613.907.173,-781.474.046.458,246.025.867.877,588.754.783.633,-297.611.999.934,-202.217.727.201,-299.487.000.589,"2,75E-01"
377.096.393.704,-143.348.623.853,121.505.503.782,662.349.131.587,377.096.393.704,-143.348.623.853,121.505.503.782,662.349.131.587,-297.412.999.928,-202.186.908.312,-299.320.333.922,"3,99E-01"
304.158.824.279,-250.932.033.266,116.388.613.863,-765.381.218.722,304.158.824.279,-250.932.033.266,116.388.613.863,-765.381.218.722,-297.213.999.923,-202.127.659.855,-299.153.667.255,"5,77E-01"
-289.401.806.568,15.055.921.996,-110.824.533.747,-235.501.913.453,-289.401.806.568,15.055.921.996,-110.824.533.747,-235.501.913.453,-297.014.999.917,-202.095.568.806,-298.987.000.589,"8,33E-01"
531.622.905.981,-557.170.542.636,309.976.074.393,-281.104.457.751,531.622.905.981,-557.170.542.636,309.976.074.393,-281.104.457.751,-296.815.999.912,-202.023.372.928,-298.820.333.922,"1,20E+00"
362.525.728.419,-121.084.920.891,162.548.993.253,-207.016.960.426,362.525.728.419,-121.084.920.891,162.548.993.253,-207.016.960.426,-296.616.999.906,-202.003.109.217,-298.653.667.255,"1,72E+00"
276.095.225.136,-403.616.402.971,158.224.731.185,-241.184.298.071,276.095.225.136,-403.616.402.971,158.224.731.185,-241.184.298.071,-296.417.999.901,-201.898.433.777,-298.487.000.589,"2,47E+00"
-27.042.920.902,-306.748.466.258,-153.753.755.656,361.776.447.106,-27.042.920.902,-306.748.466.258,-153.753.755.656,361.776.447.106,-296.218.999.895,-201.915.985.799,-298.320.333.922,"3,52E+00"
102.057.494.887,354.785.478.548,580.694.768.917,-398.910.984.848,102.057.494.887,354.785.478.548,580.694.768.917,-398.910.984.848,-29.601.999.989,-201.746.473.941,-298.153.667.255,"5,02E+00"
132.740.097.264,660.066.006.601,298.034.840.918,-299.479.166.667,132.740.097.264,660.066.006.601,298.034.840.918,-299.479.166.667,-295.820.999.884,-201.715.627.897,-297.987.000.589,"7,14E+00"
664.143.327.675,-222.772.277.228,28.979.374.502,-302.600.472.813,664.143.327.675,-222.772.277.228,28.979.374.502,-302.600.472.813,-295.621.999.879,-20.159.643.275,-297.820.333.922,"1,01E+01"
-446.206.607.879,-239.273.927.393,-293.390.276.622,555.160.984.848,-446.206.607.879,-239.273.927.393,-293.390.276.622,555.160.984.848,-295.422.999.873,-20.148.412.456,-297.653.667.255,"1,43E+01"
657.888.226.129,-251.094.514.551,656.449.634.696,-421.074.610.245,657.888.226.129,-251.094.514.551,656.449.634.696,-421.074.610.245,-295.223.999.867,-201.474.997.251,-297.487.000.589,"2,02E+01"
357.533.014.371,534.243.048.404,30.961.425.643,-375.139.198.218,357.533.014.371,534.243.048.404,30.961.425.643,-375.139.198.218,-295.024.999.862,-201.296.134.762,-297.320.333.922,"2,85E+01"
301.074.572.671,-836.981.715.169,305.487.910.627,-308.324.053.452,301.074.572.671,-836.981.715.169,305.487.910.627,-308.324.053.452,-294.825.999.856,-201.421.522.617,-297.153.667.255,"4,00E+01"
-325.705.473.184,476.435.745.558,-321.776.529.182,269.348.552.339,-325.705.473.184,476.435.745.558,-321.776.529.182,269.348.552.339,-294.626.999.851,-201.417.487.696,-296.987.000.589,"5,61E+01"
418.615.889.966,-119.806.421.152,118.235.410.443,-322.252.374.491,418.615.889.966,-119.806.421.152,118.235.410.443,-322.252.374.491,-294.427.999.845,-201.334.350.517,-296.820.333.922,"7,84E+01"
562.942.942.997,-684.400.826.446,647.925.999.212,-253.534.529.636,562.942.942.997,-684.400.826.446,647.925.999.212,-253.534.529.636,-29.422.899.984,-201.359.882.313,-296.653.667.255,"1,09E+01"
491.897.653.402,-877.991.675.338,596.870.466.256,-196.065.128.901,491.897.653.402,-877.991.675.338,596.870.466.256,-196.065.128.901,-294.029.999.834,-201.443.103.056,-296.487.000.589,"1,52E+02"
639.520.595.787,-12.360.446.571,-595.828.936.998,301.899.592.944,639.520.595.787,-12.360.446.571,-595.828.936.998,301.899.592.944,-293.830.999.829,-201.563.871.707,-296.320.333.922,"2,11E+02"
198.907.797.151,-113.800.578.035,491.579.779.118,-297.772.065.124,198.907.797.151,-113.800.578.035,491.579.779.118,-297.772.065.124,-293.631.999.823,-201.625.065.165,-296.153.667.255,"2,92E+02"
172.189.033.771,272.027.600.849,254.039.659.141,-208.452.312.964,172.189.033.771,272.027.600.849,254.039.659.141,-208.452.312.964,-293.432.999.818,-201.495.826.035,-295.987.000.589,"4,04E+02"
226.961.492.875,-546.206.082.079,248.448.688.829,-240.439.497.717,226.961.492.875,-546.206.082.079,248.448.688.829,-240.439.497.717,-293.233.999.812,-201.633.861.104,-295.820.333.922,"5,56E+02"
,,-254.335.481.887,402.027.992.002,,,-254.335.481.887,402.027.992.002,-293.034.999.807,-202.242.407.997,-295.653.667.255,"7,64E+02"
,,321.986.956.703,-214.932.126.697,,,321.986.956.703,-214.932.126.697,-292.835.999.801,-20.227.780.502,-295.487.000.589,"1,05E+03"
,,164.631.217.101,-17.689.822.294,,,164.631.217.101,-17.689.822.294,-292.636.999.796,-202.200.006.176,-295.320.333.922,"1,43E+03"
,,161.861.640.272,-140.594.699.418,,,161.861.640.272,-140.594.699.418,-29.243.799.979,-202.251.758.774,-295.153.667.255,"1,95E+03"
,,-162.282.736.087,279.573.367.809,,,-162.282.736.087,279.573.367.809,-292.238.999.785,-202.167.389.285,-294.987.000.589,"2,66E+03"
,,343.304.773.567,-480.769.230.769,,,343.304.773.567,-480.769.230.769,-292.039.999.779,-202.126.624.755,-294.820.333.922,"3,61E+03"
,,173.602.408.911,-800.854.244.527,,,173.602.408.911,-800.854.244.527,-291.840.999.774,-202.047.189.715,-294.653.667.255,"4,89E+03"
,,170.726.118.152,-514.155.982.906,,,170.726.118.152,-514.155.982.906,-291.641.999.768,-202.069.708.953,-294.487.000.589,"6,61E+03"
,,-167.232.511.883,460.737.179.487,,,-167.232.511.883,460.737.179.487,-291.442.999.763,-202.036.926.672,-294.320.333.922,"8,91E+03"
,,289.600.052.683,-857.327.725.655,,,289.600.052.683,-857.327.725.655,-291.243.999.757,-202.177.514.202,-294.153.667.255,"1,20E+04"
,,146.921.794.013,-582.335.813.653,,,146.921.794.013,-582.335.813.653,-291.044.999.751,-202.047.699.176,-293.987.000.589,"1,61E+04"
,,144.457.960.894,-226.463.927.532,,,144.457.960.894,-226.463.927.532,-290.845.999.746,-202.051.915.701,-293.820.333.922,"2,15E+04"
,,-142.296.219.093,121.319.961.178,,,-142.296.219.093,121.319.961.178,-29.064.699.974,-202.141.170.944,-293.653.667.255,"2,87E+04"
,,611.246.046.489,-878.367.732.787,,,611.246.046.489,-878.367.732.787,-290.447.999.735,-202.190.196.088,-293.487.000.589,"3,82E+03"
,,292.459.999.226,-253.826.337.324,,,292.459.999.226,-253.826.337.324,-290.248.999.729,-202.133.044.856,-293.320.333.922,"5,08E+04"
,,304.897.589.142,-240.233.144.297,,,304.897.589.142,-240.233.144.297,-290.049.999.724,-202.268.008.754,-293.153.667.255,"6,73E+04"
,,-301.096.866.598,350.559.319.363,,,-301.096.866.598,350.559.319.363,-289.850.999.718,-202.243.730.606,-292.987.000.589,"8,89E+04"
,,296.718.449.764,-240.278.057.626,,,296.718.449.764,-240.278.057.626,-289.651.999.713,-202.572.568.874,-292.820.333.922,"1,17E+05"
,,176.753.523.274,-161.298.076.923,,,176.753.523.274,-161.298.076.923,-289.452.999.707,-202.369.945.458,-292.653.667.255,"1,54E+05"
,,592.017.897.677,-359.183.151.432,,,592.017.897.677,-359.183.151.432,-289.253.999.702,-202.577.171.381,-292.487.000.589,"2,03E+05"
,,340.683.048.489,-395.286.963.132,,,340.683.048.489,-395.286.963.132,-289.054.999.696,-202.653.959.971,-292.320.333.922,"2,65E+05"
,,224.414.339.225,-264.250.359.253,,,224.414.339.225,-264.250.359.253,-288.855.999.691,-202.798.423.234,-292.153.667.255,"3,46E+05"
