time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-30.0,-201.325.671.017
-299.800.999.994,-201.433.403.342
-299.601.999.989,-201.503.117.788
-299.402.999.983,-201.633.703.103
-299.203.999.978,-201.704.187.552
-299.004.999.972,-201.910.341.743
-298.805.999.967,-201.853.041.797
-298.606.999.961,-201.969.534.879
-298.407.999.956,-202.046.681.193
-29.820.899.995,-202.172.845.196
-298.009.999.945,-202.276.321.321
-297.810.999.939,-202.295.218.735
-297.611.999.934,-202.217.727.201
-297.412.999.928,-202.186.908.312
-297.213.999.923,-202.127.659.855
-297.014.999.917,-202.095.568.806
-296.815.999.912,-202.023.372.928
-296.616.999.906,-202.003.109.217
-296.417.999.901,-201.898.433.777
-296.218.999.895,-201.915.985.799
-29.601.999.989,-201.746.473.941
-295.820.999.884,-201.715.627.897
-295.621.999.879,-20.159.643.275
-295.422.999.873,-20.148.412.456
-295.223.999.867,-201.474.997.251
-295.024.999.862,-201.296.134.762
-294.825.999.856,-201.421.522.617
-294.626.999.851,-201.417.487.696
-294.427.999.845,-201.334.350.517
-29.422.899.984,-201.359.882.313
-294.029.999.834,-201.443.103.056
-293.830.999.829,-201.563.871.707
-293.631.999.823,-201.625.065.165
-293.432.999.818,-201.495.826.035
-293.233.999.812,-201.633.861.104
-293.034.999.807,-202.242.407.997
-292.835.999.801,-20.227.780.502
-292.636.999.796,-202.200.006.176
-29.243.799.979,-202.251.758.774
-292.238.999.785,-202.167.389.285
-292.039.999.779,-202.126.624.755
-291.840.999.774,-202.047.189.715
-291.641.999.768,-202.069.708.953
-291.442.999.763,-202.036.926.672
-291.243.999.757,-202.177.514.202
-291.044.999.751,-202.047.699.176
-290.845.999.746,-202.051.915.701
-29.064.699.974,-202.141.170.944
-290.447.999.735,-202.190.196.088
-290.248.999.729,-202.133.044.856
-290.049.999.724,-202.268.008.754
-289.850.999.718,-202.243.730.606
-289.651.999.713,-202.572.568.874
-289.452.999.707,-202.369.945.458
-289.253.999.702,-202.577.171.381
-289.054.999.696,-202.653.959.971
-288.855.999.691,-202.798.423.234
-288.656.999.685,-202.898.198.062
-28.845.799.968,-203.064.993.618
-288.258.999.674,-203.092.285.225
-288.059.999.669,-20.301.892.794
-287.860.999.663,-203.070.049.704
-287.661.999.658,-202.931.563.264
-287.462.999.652,-202.922.120.818
-287.263.999.647,-202.778.260.882
-287.064.999.641,-202.850.142.437
-286.865.999.635,-202.728.946.988
-28.666.699.963,-202.656.081.168
-286.467.999.624,-202.689.752.097
-286.268.999.619,-202.509.508.973
-286.069.999.613,-202.477.157.152
-285.870.999.608,-202.352.776.929
-285.671.999.602,-202.366.046.871
-285.472.999.597,-202.182.211.449
-285.273.999.591,-202.215.251.651
-285.074.999.586,-202.058.286.972
-28.487.599.958,-202.252.322.992
-284.676.999.575,-202.199.634.394
-284.477.999.569,-20.233.392.581
-284.278.999.564,-20.254.992.484
-284.079.999.558,-20.245.430.463
-283.880.999.553,-202.576.593.551
-283.681.999.547,-202.679.380.624
-283.482.999.542,-202.680.085.906
-283.283.999.536,-203.221.209.775
-283.084.999.531,-203.272.801.085
-282.885.999.525,-203.226.167.916
-28.268.699.952,-203.149.578.569
-282.487.999.514,-203.185.910.482
-282.288.999.508,-203.267.000.292
-282.089.999.503,-203.139.725.018
-281.890.999.497,-203.157.412.067
-281.691.999.492,-203.140.410.376
-281.492.999.486,-203.104.232.448
-281.293.999.481,-203.096.309.939
-281.094.999.475,-203.227.141.319
-28.089.599.947,-203.105.562.995
-280.696.999.464,-203.181.405.255
-280.497.999.459,-203.192.002.914
-280.298.999.453,-203.195.691.282
-280.099.999.448,-203.097.178.703
-279.900.999.442,-203.232.871.914
-279.701.999.437,-20.321.429.381
-279.502.999.431,-203.375.153.768
-279.303.999.426,-203.348.451.516
-27.910.499.942,-203.581.369.177
-278.905.999.415,-203.616.357.721
-278.706.999.409,-203.837.802.886
-278.507.999.404,-203.831.592.306
-278.308.999.398,-203.970.541.388
-278.109.999.392,-203.990.994.342
-277.910.999.387,-203.982.033.524
-277.711.999.381,-203.991.767.528
-277.512.999.376,-203.971.073.277
-27.731.399.937,-203.840.670.219
-277.114.999.365,-203.783.836.109
-276.915.999.359,-203.719.607.489
-276.716.999.354,-203.672.021.379
-276.517.999.348,-203.577.392.828
-276.318.999.343,-20.360.647.572
-276.119.999.337,-203.509.287.476
-275.920.999.332,-203.397.451.213
